ZIPCODE,COUNTY,COUNTY_NAME,PREFERRED_CITY
98001,33,King County,AUBURN
98002,33,King County,AUBURN
98003,33,King County,FEDERAL WAY
98004,33,King County,BELLEVUE
98005,33,King County,BELLEVUE
98006,33,King County,BELLEVUE
98007,33,King County,BELLEVUE
98008,33,King County,BELLEVUE
98010,33,King County,BLACK DIAMOND
98011,33,King County,BOTHELL
98011,61,Snohomish County,BOTHELL
98012,61,Snohomish County,BOTHELL
98014,33,King County,CARNATION
98019,33,King County,DUVALL
98019,61,Snohomish County,DUVALL
98020,61,Snohomish County,EDMONDS
98021,33,King County,BOTHELL
98022,33,King County,ENUMCLAW
98022,53,Pierce County,ENUMCLAW
98023,33,King County,FEDERAL WAY
98024,33,King County,FALL CITY
98026,61,Snohomish County,EDMONDS
98027,33,King County,ISSAQUAH
98028,33,King County,KENMORE
98029,33,King County,ISSAQUAH
98030,33,King County,KENT
98031,33,King County,KENT
98032,33,King County,KENT
98033,33,King County,KIRKLAND
98034,33,King County,KIRKLAND
98036,61,Snohomish County,LYNNWOOD
98037,61,Snohomish County,LYNNWOOD
98038,33,King County,MAPLE VALLEY
98039,33,King County,MEDINA
98040,33,King County,MERCER ISLAND
98042,33,King County,KENT
98043,61,Snohomish County,MOUNTLAKE TERRACE
98045,33,King County,NORTH BEND
98047,33,King County,PACIFIC
98047,53,Pierce County,PACIFIC
98050,33,King County,PRESTON
98051,33,King County,RAVENSDALE
98052,33,King County,REDMOND
98053,33,King County,REDMOND
98055,33,King County,RENTON
98056,33,King County,RENTON
98057,33,King County,RENTON
98058,33,King County,RENTON
98059,33,King County,RENTON
98065,33,King County,SNOQUALMIE
98068,33,King County,SNOQUALMIE PASS
98068,37,Kittitas County,SNOQUALMIE PASS
98070,33,King County,VASHON
98072,33,King County,WOODINVILLE
98072,61,Snohomish County,WOODINVILLE
98074,33,King County,SAMMAMISH
98075,33,King County,SAMMAMIISH
98077,33,King County,WOODINVILLE
98077,61,Snohomish County,WOODINVILLE
98087,61,Snohomish County,LYNNWOOD
98092,33,King County,AUBURN
98092,53,Pierce County,AUBURN
98101,33,King County,SEATTLE
98102,33,King County,SEATTLE
98103,33,King County,SEATTLE
98104,33,King County,SEATTLE
98105,33,King County,SEATTLE
98106,33,King County,SEATTLE
98107,33,King County,SEATTLE
98108,33,King County,SEATTLE
98109,33,King County,SEATTLE
98110,35,Kitsap County,BAINBRIDGE ISLAND
98112,33,King County,SEATTLE
98115,33,King County,SEATTLE
98116,33,King County,SEATTLE
98117,33,King County,SEATTLE
98118,33,King County,SEATTLE
98119,33,King County,SEATTLE
98121,33,King County,SEATTLE
98122,33,King County,SEATTLE
98125,33,King County,SEATTLE
98126,33,King County,SEATTLE
98133,33,King County,SEATTLE
98134,33,King County,SEATTLE
98136,33,King County,SEATTLE
98144,33,King County,SEATTLE
98146,33,King County,SEATTLE
98148,33,King County,SEATTLE
98154,33,King County,SEATTLE
98155,33,King County,SEATTLE
98158,33,King County,SEATTLE
98164,33,King County,SEATTLE
98166,33,King County,SEATTLE
98168,33,King County,SEATTLE
98177,33,King County,SEATTLE
98177,61,Snohomish County,SEATTLE
98178,33,King County,SEATTLE
98188,33,King County,SEATTLE
98195,33,King County,SEATTLE
98198,33,King County,SEATTLE
98199,33,King County,SEATTLE
98201,61,Snohomish County,EVERETT
98203,61,Snohomish County,EVERETT
98204,61,Snohomish County,EVERETT
98205,61,Snohomish County,EVERETT
98260,61,Snohomish County,LANGLEY
98208,61,Snohomish County,EVERETT
98223,61,Snohomish County,ARLINGTON
98224,33,King County,BARING
98241,61,Snohomish County,DARRINGTON
98251,61,Snohomish County,GOLD BAR
98252,61,Snohomish County,GRANITE FALLS
98258,61,Snohomish County,LAKE STEVENS
98270,61,Snohomish County,MARYSVILLE
98271,61,Snohomish County,MARYSVILLE
98272,61,Snohomish County,MONROE
98275,61,Snohomish County,MUKILTEO
98282,61,Snohomish County,CAMANO ISLAND
98288,33,King County,SKYKOMISH
98290,61,Snohomish County,SNOHOMISH
98292,61,Snohomish County,STANWOOD
98294,61,Snohomish County,SULTAN
98296,61,Snohomish County,SNOHOMISH
98303,53,Pierce County,ANDERSON ISLAND
98304,53,Pierce County,ASHFORD
98310,35,Kitsap County,BREMERTON
98311,35,Kitsap County,BREMERTON
98312,35,Kitsap County,BREMERTON
98314,35,Kitsap County,BREMERTON
98315,35,Kitsap County,SILVERDALE
98321,53,Pierce County,BUCKLEY
98323,53,Pierce County,CARBONADO
98327,53,Pierce County,DUPONT
98328,53,Pierce County,EATONVILLE
98329,53,Pierce County,GIG HARBOR
98330,53,Pierce County,ELBE
98332,53,Pierce County,GIG HARBOR
98333,53,Pierce County,FOX ISLAND
98335,53,Pierce County,GIG HARBOR
98337,35,Kitsap County,BREMERTON
98338,53,Pierce County,GRAHAM
98340,35,Kitsap County,HANSVILLE
98342,35,Kitsap County,INDIANOLA
98345,35,Kitsap County,KEYPORT
98346,35,Kitsap County,KINGSTON
98349,53,Pierce County,LAKEBAY
98351,53,Pierce County,LONGBRANCH
98354,33,King County,MILTON
98354,53,Pierce County,MILTON
98359,35,Kitsap County,OLALLA
98360,53,Pierce County,ORTING
98366,35,Kitsap County,PORT ORCHARD
98367,35,Kitsap County,PORT ORCHARD
98370,35,Kitsap County,POULSBO
98371,53,Pierce County,PUYALLUP
98372,53,Pierce County,PUYALLUP
98373,53,Pierce County,PUYALLUP
98374,53,Pierce County,PUYALLUP
98375,53,Pierce County,PUYALLUP
98380,35,Kitsap County,SEABECK
98383,35,Kitsap County,SILVERDALE
98385,53,Pierce County,SOUTH PRAIRIE
98387,53,Pierce County,SPANAWAY
98388,53,Pierce County,STEILACOOM
98390,53,Pierce County,SUMNER
98391,53,Pierce County,BONNEY LAKE
98392,35,Kitsap County,SUQUAMISH
98394,53,Pierce County,VAUGHN
98396,53,Pierce County,WILKESON
98397,53,Pierce County,LONGMIRE
98402,53,Pierce County,TACOMA
98403,53,Pierce County,TACOMA
98404,53,Pierce County,TACOMA
98405,53,Pierce County,TACOMA
98406,53,Pierce County,TACOMA
98407,53,Pierce County,TACOMA
98408,53,Pierce County,TACOMA
98409,53,Pierce County,TACOMA
98416,53,Pierce County,TACOMA
98418,53,Pierce County,TACOMA
98421,53,Pierce County,TACOMA
98422,33,King County,TACOMA
98422,53,Pierce County,TACOMA
98424,53,Pierce County,TACOMA
98430,53,Pierce County,CAMP MURRAY
98433,53,Pierce County,TACOMA
98438,53,Pierce County,TACOMA
98439,53,Pierce County,LAKEWOOD
98443,53,Pierce County,TACOMA
98444,53,Pierce County,TACOMA
98445,53,Pierce County,TACOMA
98446,53,Pierce County,TACOMA
98447,53,Pierce County,TACOMA
98465,53,Pierce County,TACOMA
98466,53,Pierce County,TACOMA
98467,53,Pierce County,UNIVERSITY PLACE
98498,53,Pierce County,LAKEWOOD
98499,53,Pierce County,LAKEWOOD
98580,53,Pierce County,ROY
98826,7,Chelan County,LEAVENWORTH
98922,37,Kittitas County,CLE ELUM
98925,37,Kittitas County,EASTON
98926,37,Kittitas County,ELLENSBURG
98934,37,Kittitas County,KITTITAS
98940,37,Kittitas County,RONALD
98941,37,Kittitas County,ROSLYN
98943,37,Kittitas County,SOUTH CLE ELUM
98946,37,Kittitas County,THORP
98950,37,Kittitas County,VANTAGE