,ZIPCODE,percent_met_standard,district
0,98034,0.7202609363008442,LAKE WASHINGTON
1,98074,0.7202609363008442,LAKE WASHINGTON
2,98034,0.7202609363008442,LAKE WASHINGTON
3,98053,0.7202609363008442,LAKE WASHINGTON
4,98074,0.7202609363008442,LAKE WASHINGTON
5,98074,0.7202609363008442,LAKE WASHINGTON
6,98053,0.7202609363008442,LAKE WASHINGTON
7,98033,0.7202609363008442,LAKE WASHINGTON
8,98034,0.7202609363008442,LAKE WASHINGTON
9,98033,0.7202609363008442,LAKE WASHINGTON
10,98034,0.7202609363008442,LAKE WASHINGTON
11,98053,0.7202609363008442,LAKE WASHINGTON
12,98074,0.7202609363008442,LAKE WASHINGTON
13,98034,0.7202609363008442,LAKE WASHINGTON
14,98052,0.7202609363008442,LAKE WASHINGTON
15,98052,0.7202609363008442,LAKE WASHINGTON
16,98034,0.7202609363008442,LAKE WASHINGTON
17,98028,0.7202609363008442,LAKE WASHINGTON
18,98074,0.7202609363008442,LAKE WASHINGTON
19,98052,0.7202609363008442,LAKE WASHINGTON
20,98074,0.7202609363008442,LAKE WASHINGTON
21,98053,0.7202609363008442,LAKE WASHINGTON
22,98052,0.7202609363008442,LAKE WASHINGTON
23,98033,0.7202609363008442,LAKE WASHINGTON
24,98074,0.7202609363008442,LAKE WASHINGTON
25,98052,0.7202609363008442,LAKE WASHINGTON
26,98052,0.7202609363008442,LAKE WASHINGTON
27,98052,0.7202609363008442,LAKE WASHINGTON
28,98074,0.7202609363008442,LAKE WASHINGTON
29,98033,0.7202609363008442,LAKE WASHINGTON
30,98034,0.7202609363008442,LAKE WASHINGTON
31,98034,0.7202609363008442,LAKE WASHINGTON
32,98033,0.7202609363008442,LAKE WASHINGTON
33,98033,0.7202609363008442,LAKE WASHINGTON
34,98052,0.7202609363008442,LAKE WASHINGTON
35,98034,0.7202609363008442,LAKE WASHINGTON
36,98034,0.7202609363008442,LAKE WASHINGTON
37,98053,0.7202609363008442,LAKE WASHINGTON
38,98033,0.7202609363008442,LAKE WASHINGTON
39,98033,0.7202609363008442,LAKE WASHINGTON
40,98052,0.7202609363008442,LAKE WASHINGTON
41,98033,0.7202609363008442,LAKE WASHINGTON
42,98034,0.7202609363008442,LAKE WASHINGTON
43,98034,0.7202609363008442,LAKE WASHINGTON
44,98034,0.7202609363008442,LAKE WASHINGTON
45,98033,0.7202609363008442,LAKE WASHINGTON
46,98052,0.7202609363008442,LAKE WASHINGTON
47,98052,0.7202609363008442,LAKE WASHINGTON
48,98052,0.7202609363008442,LAKE WASHINGTON
49,98053,0.7202609363008442,LAKE WASHINGTON
50,98033,0.7202609363008442,LAKE WASHINGTON
51,98034,0.7202609363008442,LAKE WASHINGTON
52,98034,0.7202609363008442,LAKE WASHINGTON
53,98033,0.7202609363008442,LAKE WASHINGTON
54,98034,0.7202609363008442,LAKE WASHINGTON
55,98074,0.7202609363008442,LAKE WASHINGTON
56,98033,0.7202609363008442,LAKE WASHINGTON
57,98052,0.7202609363008442,LAKE WASHINGTON
58,98052,0.7202609363008442,LAKE WASHINGTON
59,98033,0.7202609363008442,LAKE WASHINGTON
60,98033,0.7202609363008442,LAKE WASHINGTON
61,98053,0.7202609363008442,LAKE WASHINGTON
62,98053,0.7202609363008442,LAKE WASHINGTON
63,98053,0.7202609363008442,LAKE WASHINGTON
64,98077,0.7202609363008442,LAKE WASHINGTON
65,98033,0.7202609363008442,LAKE WASHINGTON
66,98033,0.7202609363008442,LAKE WASHINGTON
67,98052,0.7202609363008442,LAKE WASHINGTON
68,98053,0.7202609363008442,LAKE WASHINGTON
69,98033,0.7202609363008442,LAKE WASHINGTON
70,98042,0.4057993853912221,KENT
71,98042,0.4057993853912221,KENT
72,98030,0.4057993853912221,KENT
73,98042,0.4057993853912221,KENT
74,98042,0.4057993853912221,KENT
75,98032,0.4057993853912221,KENT
76,98042,0.4057993853912221,KENT
77,98042,0.4057993853912221,KENT
78,98031,0.4057993853912221,KENT
79,98010,0.4057993853912221,KENT
80,98092,0.4057993853912221,KENT
81,98042,0.4057993853912221,KENT
82,98042,0.4057993853912221,KENT
83,98030,0.4057993853912221,KENT
84,98031,0.4057993853912221,KENT
85,98031,0.4057993853912221,KENT
86,98198,0.4057993853912221,KENT
87,98031,0.4057993853912221,KENT
88,98030,0.4057993853912221,KENT
89,98030,0.4057993853912221,KENT
90,98042,0.4057993853912221,KENT
91,98058,0.4057993853912221,KENT
92,98058,0.4057993853912221,KENT
93,98058,0.4057993853912221,KENT
94,98058,0.4057993853912221,KENT
95,98058,0.4057993853912221,KENT
96,98030,0.4057993853912221,KENT
97,98030,0.4057993853912221,KENT
98,98032,0.4057993853912221,KENT
99,98030,0.4057993853912221,KENT
100,98042,0.4057993853912221,KENT
101,98032,0.4057993853912221,KENT
102,98030,0.4057993853912221,KENT
103,98031,0.4057993853912221,KENT
104,98058,0.4057993853912221,KENT
105,98031,0.4057993853912221,KENT
106,98042,0.4057993853912221,KENT
107,98032,0.4057993853912221,KENT
108,98031,0.4057993853912221,KENT
109,98031,0.4057993853912221,KENT
110,98042,0.4057993853912221,KENT
111,98042,0.4057993853912221,KENT
112,98031,0.4057993853912221,KENT
113,98031,0.4057993853912221,KENT
114,98005,0.6785628502802242,BELLEVUE
115,98005,0.6785628502802242,BELLEVUE
116,98004,0.6785628502802242,BELLEVUE
117,98006,0.6785628502802242,BELLEVUE
118,98006,0.6785628502802242,BELLEVUE
119,98039,0.6785628502802242,BELLEVUE
120,98039,0.6785628502802242,BELLEVUE
121,98039,0.6785628502802242,BELLEVUE
122,98004,0.6785628502802242,BELLEVUE
123,98005,0.6785628502802242,BELLEVUE
124,98008,0.6785628502802242,BELLEVUE
125,98004,0.6785628502802242,BELLEVUE
126,98004,0.6785628502802242,BELLEVUE
127,98006,0.6785628502802242,BELLEVUE
128,98004,0.6785628502802242,BELLEVUE
129,98006,0.6785628502802242,BELLEVUE
130,98006,0.6785628502802242,BELLEVUE
131,98007,0.6785628502802242,BELLEVUE
132,98007,0.6785628502802242,BELLEVUE
133,98007,0.6785628502802242,BELLEVUE
134,98007,0.6785628502802242,BELLEVUE
135,98006,0.6785628502802242,BELLEVUE
136,98008,0.6785628502802242,BELLEVUE
137,98007,0.6785628502802242,BELLEVUE
138,98007,0.6785628502802242,BELLEVUE
139,98005,0.6785628502802242,BELLEVUE
140,98004,0.6785628502802242,BELLEVUE
141,98008,0.6785628502802242,BELLEVUE
142,98004,0.6785628502802242,BELLEVUE
143,98008,0.6785628502802242,BELLEVUE
144,98008,0.6785628502802242,BELLEVUE
145,98008,0.6785628502802242,BELLEVUE
146,98008,0.6785628502802242,BELLEVUE
147,98007,0.6785628502802242,BELLEVUE
148,98007,0.6785628502802242,BELLEVUE
149,98007,0.6785628502802242,BELLEVUE
150,98004,0.6785628502802242,BELLEVUE
151,98006,0.6785628502802242,BELLEVUE
152,98008,0.6785628502802242,BELLEVUE
153,98006,0.6785628502802242,BELLEVUE
154,98007,0.6785628502802242,BELLEVUE
155,98005,0.6785628502802242,BELLEVUE
156,98006,0.6785628502802242,BELLEVUE
157,98121,0.6785628502802242,BELLEVUE
158,98007,0.6785628502802242,BELLEVUE
159,98008,0.6785628502802242,BELLEVUE
160,98004,0.6785628502802242,BELLEVUE
161,98008,0.6785628502802242,BELLEVUE
162,98005,0.6785628502802242,BELLEVUE
163,98004,0.6785628502802242,BELLEVUE
164,98103,0.5555795164855477,SEATTLE
165,98121,0.5555795164855477,SEATTLE
166,98116,0.5555795164855477,SEATTLE
167,98115,0.5555795164855477,SEATTLE
168,98108,0.5555795164855477,SEATTLE
169,98118,0.5555795164855477,SEATTLE
170,98118,0.5555795164855477,SEATTLE
171,98115,0.5555795164855477,SEATTLE
172,98112,0.5555795164855477,SEATTLE
173,98126,0.5555795164855477,SEATTLE
174,98126,0.5555795164855477,SEATTLE
175,98199,0.5555795164855477,SEATTLE
176,98118,0.5555795164855477,SEATTLE
177,98122,0.5555795164855477,SEATTLE
178,98103,0.5555795164855477,SEATTLE
179,98102,0.5555795164855477,SEATTLE
180,98103,0.5555795164855477,SEATTLE
181,98105,0.5555795164855477,SEATTLE
182,98103,0.5555795164855477,SEATTLE
183,98118,0.5555795164855477,SEATTLE
184,98103,0.5555795164855477,SEATTLE
185,98103,0.5555795164855477,SEATTLE
186,98108,0.5555795164855477,SEATTLE
187,98105,0.5555795164855477,SEATTLE
188,98122,0.5555795164855477,SEATTLE
189,98112,0.5555795164855477,SEATTLE
190,98102,0.5555795164855477,SEATTLE
191,98125,0.5555795164855477,SEATTLE
192,98108,0.5555795164855477,SEATTLE
193,98112,0.5555795164855477,SEATTLE
194,98126,0.5555795164855477,SEATTLE
195,98115,0.5555795164855477,SEATTLE
196,98115,0.5555795164855477,SEATTLE
197,98115,0.5555795164855477,SEATTLE
198,98103,0.5555795164855477,SEATTLE
199,98115,0.5555795164855477,SEATTLE
200,98104,0.5555795164855477,SEATTLE
201,98144,0.5555795164855477,SEATTLE
202,98103,0.5555795164855477,SEATTLE
203,98115,0.5555795164855477,SEATTLE
204,98115,0.5555795164855477,SEATTLE
205,98118,0.5555795164855477,SEATTLE
206,98118,0.5555795164855477,SEATTLE
207,98144,0.5555795164855477,SEATTLE
208,98112,0.5555795164855477,SEATTLE
209,98122,0.5555795164855477,SEATTLE
210,98134,0.5555795164855477,SEATTLE
211,98102,0.5555795164855477,SEATTLE
212,98117,0.5555795164855477,SEATTLE
213,98116,0.5555795164855477,SEATTLE
214,98133,0.5555795164855477,SEATTLE
215,98134,0.5555795164855477,SEATTLE
216,98146,0.5555795164855477,SEATTLE
217,98103,0.5555795164855477,SEATTLE
218,98122,0.5555795164855477,SEATTLE
219,98122,0.5555795164855477,SEATTLE
220,98117,0.5555795164855477,SEATTLE
221,98101,0.5555795164855477,SEATTLE
222,98117,0.5555795164855477,SEATTLE
223,98126,0.5555795164855477,SEATTLE
224,98115,0.5555795164855477,SEATTLE
225,98118,0.5555795164855477,SEATTLE
226,98115,0.5555795164855477,SEATTLE
227,98122,0.5555795164855477,SEATTLE
228,98125,0.5555795164855477,SEATTLE
229,98125,0.5555795164855477,SEATTLE
230,98117,0.5555795164855477,SEATTLE
231,98117,0.5555795164855477,SEATTLE
232,98106,0.5555795164855477,SEATTLE
233,98144,0.5555795164855477,SEATTLE
234,98115,0.5555795164855477,SEATTLE
235,98109,0.5555795164855477,SEATTLE
236,98134,0.5555795164855477,SEATTLE
237,98116,0.5555795164855477,SEATTLE
238,98108,0.5555795164855477,SEATTLE
239,98115,0.5555795164855477,SEATTLE
240,98107,0.5555795164855477,SEATTLE
241,98115,0.5555795164855477,SEATTLE
242,98103,0.5555795164855477,SEATTLE
243,98126,0.5555795164855477,SEATTLE
244,98103,0.5555795164855477,SEATTLE
245,98195,0.5555795164855477,SEATTLE
246,98118,0.5555795164855477,SEATTLE
247,98122,0.5555795164855477,SEATTLE
248,98195,0.5555795164855477,SEATTLE
249,98195,0.5555795164855477,SEATTLE
250,98109,0.5555795164855477,SEATTLE
251,98118,0.5555795164855477,SEATTLE
252,98146,0.5555795164855477,SEATTLE
253,98103,0.5555795164855477,SEATTLE
254,98106,0.5555795164855477,SEATTLE
255,98119,0.5555795164855477,SEATTLE
256,98112,0.5555795164855477,SEATTLE
257,98108,0.5555795164855477,SEATTLE
258,98112,0.5555795164855477,SEATTLE
259,98126,0.5555795164855477,SEATTLE
260,98116,0.5555795164855477,SEATTLE
261,98199,0.5555795164855477,SEATTLE
262,98125,0.5555795164855477,SEATTLE
263,98105,0.5555795164855477,SEATTLE
264,98109,0.5555795164855477,SEATTLE
265,98116,0.5555795164855477,SEATTLE
266,98118,0.5555795164855477,SEATTLE
267,98133,0.5555795164855477,SEATTLE
268,98122,0.5555795164855477,SEATTLE
269,98112,0.5555795164855477,SEATTLE
270,98199,0.5555795164855477,SEATTLE
271,98108,0.5555795164855477,SEATTLE
272,98106,0.5555795164855477,SEATTLE
273,98125,0.5555795164855477,SEATTLE
274,98119,0.5555795164855477,SEATTLE
275,98106,0.5555795164855477,SEATTLE
276,98102,0.5555795164855477,SEATTLE
277,98125,0.5555795164855477,SEATTLE
278,98124,0.5555795164855477,SEATTLE
279,98115,0.5555795164855477,SEATTLE
280,98199,0.5555795164855477,SEATTLE
281,98118,0.5555795164855477,SEATTLE
282,98125,0.5555795164855477,SEATTLE
283,98125,0.5555795164855477,SEATTLE
284,98122,0.5555795164855477,SEATTLE
285,98125,0.5555795164855477,SEATTLE
286,98125,0.5555795164855477,SEATTLE
287,98103,0.5555795164855477,SEATTLE
288,98122,0.5555795164855477,SEATTLE
289,98109,0.5555795164855477,SEATTLE
290,98116,0.5555795164855477,SEATTLE
291,98118,0.5555795164855477,SEATTLE
292,98122,0.5555795164855477,SEATTLE
293,98144,0.5555795164855477,SEATTLE
294,98144,0.5555795164855477,SEATTLE
295,98144,0.5555795164855477,SEATTLE
296,98105,0.5555795164855477,SEATTLE
297,98117,0.5555795164855477,SEATTLE
298,98144,0.5555795164855477,SEATTLE
299,98118,0.5555795164855477,SEATTLE
300,98115,0.5555795164855477,SEATTLE
301,98133,0.5555795164855477,SEATTLE
302,98125,0.5555795164855477,SEATTLE
303,98117,0.5555795164855477,SEATTLE
304,98122,0.5555795164855477,SEATTLE
305,98122,0.5555795164855477,SEATTLE
306,98144,0.5555795164855477,SEATTLE
307,98109,0.5555795164855477,SEATTLE
308,98103,0.5555795164855477,SEATTLE
309,98115,0.5555795164855477,SEATTLE
310,98136,0.5555795164855477,SEATTLE
311,98121,0.5555795164855477,SEATTLE
312,98178,0.5555795164855477,SEATTLE
313,98119,0.5555795164855477,SEATTLE
314,98118,0.5555795164855477,SEATTLE
315,98121,0.5555795164855477,SEATTLE
316,98105,0.5555795164855477,SEATTLE
317,98115,0.5555795164855477,SEATTLE
318,98122,0.5555795164855477,SEATTLE
319,98105,0.5555795164855477,SEATTLE
320,98144,0.5555795164855477,SEATTLE
321,98112,0.5555795164855477,SEATTLE
322,98125,0.5555795164855477,SEATTLE
323,98117,0.5555795164855477,SEATTLE
324,98116,0.5555795164855477,SEATTLE
325,98116,0.5555795164855477,SEATTLE
326,98112,0.5555795164855477,SEATTLE
327,98144,0.5555795164855477,SEATTLE
