,ZIPCODE,percent_met_standard,district
328,98102,0.5555795164855477,SEATTLE
329,98108,0.5555795164855477,SEATTLE
330,98108,0.5555795164855477,SEATTLE
331,98106,0.5555795164855477,SEATTLE
332,98107,0.5555795164855477,SEATTLE
333,98106,0.5555795164855477,SEATTLE
334,98107,0.5555795164855477,SEATTLE
335,98144,0.5555795164855477,SEATTLE
336,98115,0.5555795164855477,SEATTLE
337,98119,0.5555795164855477,SEATTLE
338,98115,0.5555795164855477,SEATTLE
339,98119,0.5555795164855477,SEATTLE
340,98109,0.5555795164855477,SEATTLE
341,98103,0.5555795164855477,SEATTLE
342,98116,0.5555795164855477,SEATTLE
343,98144,0.5555795164855477,SEATTLE
344,98115,0.5555795164855477,SEATTLE
345,98107,0.5555795164855477,SEATTLE
346,98133,0.6060012768674186,SHORELINE
347,98155,0.6060012768674186,SHORELINE
348,98155,0.6060012768674186,SHORELINE
349,98133,0.6060012768674186,SHORELINE
350,98133,0.6060012768674186,SHORELINE
351,98155,0.6060012768674186,SHORELINE
352,98133,0.6060012768674186,SHORELINE
353,98155,0.6060012768674186,SHORELINE
354,98155,0.6060012768674186,SHORELINE
355,98133,0.6060012768674186,SHORELINE
356,98155,0.6060012768674186,SHORELINE
357,98133,0.6060012768674186,SHORELINE
358,98133,0.6060012768674186,SHORELINE
359,98155,0.6060012768674186,SHORELINE
360,98155,0.6060012768674186,SHORELINE
361,98133,0.6060012768674186,SHORELINE
362,98155,0.6060012768674186,SHORELINE
363,98133,0.6060012768674186,SHORELINE
364,98155,0.6060012768674186,SHORELINE
365,98177,0.6060012768674186,SHORELINE
366,98133,0.6060012768674186,SHORELINE
367,98177,0.6060012768674186,SHORELINE
368,98155,0.6060012768674186,SHORELINE
369,98155,0.6060012768674186,SHORELINE
370,98023,0.2837603617181612,FEDERAL WAY
371,98003,0.2837603617181612,FEDERAL WAY
372,98032,0.2837603617181612,FEDERAL WAY
373,98003,0.2837603617181612,FEDERAL WAY
374,98023,0.2837603617181612,FEDERAL WAY
375,98003,0.2837603617181612,FEDERAL WAY
376,98003,0.2837603617181612,FEDERAL WAY
377,98023,0.2837603617181612,FEDERAL WAY
378,98003,0.2837603617181612,FEDERAL WAY
379,98032,0.2837603617181612,FEDERAL WAY
380,98023,0.2837603617181612,FEDERAL WAY
381,98023,0.2837603617181612,FEDERAL WAY
382,98198,0.2837603617181612,FEDERAL WAY
383,98001,0.2837603617181612,FEDERAL WAY
384,98003,0.2837603617181612,FEDERAL WAY
385,98003,0.2837603617181612,FEDERAL WAY
386,98003,0.2837603617181612,FEDERAL WAY
387,98001,0.2837603617181612,FEDERAL WAY
388,98003,0.2837603617181612,FEDERAL WAY
389,98023,0.2837603617181612,FEDERAL WAY
390,98001,0.2837603617181612,FEDERAL WAY
391,98023,0.2837603617181612,FEDERAL WAY
392,98003,0.2837603617181612,FEDERAL WAY
393,98003,0.2837603617181612,FEDERAL WAY
394,98001,0.2837603617181612,FEDERAL WAY
395,98003,0.2837603617181612,FEDERAL WAY
396,98003,0.2837603617181612,FEDERAL WAY
397,98001,0.2837603617181612,FEDERAL WAY
398,98001,0.2837603617181612,FEDERAL WAY
399,98001,0.2837603617181612,FEDERAL WAY
400,98023,0.2837603617181612,FEDERAL WAY
401,98003,0.2837603617181612,FEDERAL WAY
402,98023,0.2837603617181612,FEDERAL WAY
403,98023,0.2837603617181612,FEDERAL WAY
404,98003,0.2837603617181612,FEDERAL WAY
405,98023,0.2837603617181612,FEDERAL WAY
406,98003,0.2837603617181612,FEDERAL WAY
407,98001,0.2837603617181612,FEDERAL WAY
408,98003,0.2837603617181612,FEDERAL WAY
409,98003,0.2837603617181612,FEDERAL WAY
410,98003,0.2837603617181612,FEDERAL WAY
411,98023,0.2837603617181612,FEDERAL WAY
412,98032,0.2837603617181612,FEDERAL WAY
413,98011,0.6401565636967929,NORTHSHORE
414,98052,0.6401565636967929,NORTHSHORE
415,98011,0.6401565636967929,NORTHSHORE
416,98028,0.6401565636967929,NORTHSHORE
417,98011,0.6401565636967929,NORTHSHORE
418,98077,0.6401565636967929,NORTHSHORE
419,98028,0.6401565636967929,NORTHSHORE
420,98011,0.6401565636967929,NORTHSHORE
421,98028,0.6401565636967929,NORTHSHORE
422,98072,0.6401565636967929,NORTHSHORE
423,98072,0.6401565636967929,NORTHSHORE
424,98072,0.6401565636967929,NORTHSHORE
425,98072,0.6401565636967929,NORTHSHORE
426,98011,0.6401565636967929,NORTHSHORE
427,98011,0.6401565636967929,NORTHSHORE
428,98011,0.6401565636967929,NORTHSHORE
429,98011,0.6401565636967929,NORTHSHORE
430,98072,0.6401565636967929,NORTHSHORE
431,98072,0.6401565636967929,NORTHSHORE
432,98028,0.6401565636967929,NORTHSHORE
433,98011,0.6401565636967929,NORTHSHORE
434,98028,0.6401565636967929,NORTHSHORE
435,98077,0.6401565636967929,NORTHSHORE
436,98077,0.6401565636967929,NORTHSHORE
437,98011,0.6401565636967929,NORTHSHORE
438,98072,0.6401565636967929,NORTHSHORE
439,98011,0.6401565636967929,NORTHSHORE
440,98011,0.6401565636967929,NORTHSHORE
441,98011,0.6401565636967929,NORTHSHORE
442,98072,0.6401565636967929,NORTHSHORE
443,98011,0.6401565636967929,NORTHSHORE
444,98146,0.2736525872119092,HIGHLINE
445,98188,0.2736525872119092,HIGHLINE
446,98146,0.2736525872119092,HIGHLINE
447,98198,0.2736525872119092,HIGHLINE
448,98148,0.2736525872119092,HIGHLINE
449,98188,0.2736525872119092,HIGHLINE
450,98166,0.2736525872119092,HIGHLINE
451,98148,0.2736525872119092,HIGHLINE
452,98166,0.2736525872119092,HIGHLINE
453,98198,0.2736525872119092,HIGHLINE
454,98146,0.2736525872119092,HIGHLINE
455,98146,0.2736525872119092,HIGHLINE
456,98168,0.2736525872119092,HIGHLINE
457,98146,0.2736525872119092,HIGHLINE
458,98146,0.2736525872119092,HIGHLINE
459,98146,0.2736525872119092,HIGHLINE
460,98168,0.2736525872119092,HIGHLINE
461,98168,0.2736525872119092,HIGHLINE
462,98166,0.2736525872119092,HIGHLINE
463,98148,0.2736525872119092,HIGHLINE
464,98148,0.2736525872119092,HIGHLINE
465,98188,0.2736525872119092,HIGHLINE
466,98188,0.2736525872119092,HIGHLINE
467,98148,0.2736525872119092,HIGHLINE
468,98166,0.2736525872119092,HIGHLINE
469,98198,0.2736525872119092,HIGHLINE
470,98198,0.2736525872119092,HIGHLINE
471,98148,0.2736525872119092,HIGHLINE
472,98168,0.2736525872119092,HIGHLINE
473,98148,0.2736525872119092,HIGHLINE
474,98146,0.2736525872119092,HIGHLINE
475,98166,0.2736525872119092,HIGHLINE
476,98166,0.2736525872119092,HIGHLINE
477,98198,0.2736525872119092,HIGHLINE
478,98198,0.2736525872119092,HIGHLINE
479,98198,0.2736525872119092,HIGHLINE
480,98168,0.2736525872119092,HIGHLINE
481,98148,0.2736525872119092,HIGHLINE
482,98198,0.2736525872119092,HIGHLINE
483,98168,0.2736525872119092,HIGHLINE
484,98146,0.2736525872119092,HIGHLINE
485,98188,0.2736525872119092,HIGHLINE
486,98198,0.2736525872119092,HIGHLINE
487,98108,0.2736525872119092,HIGHLINE
488,98056,0.368620581468312,RENTON
489,98059,0.368620581468312,RENTON
490,98056,0.368620581468312,RENTON
491,98178,0.368620581468312,RENTON
492,98059,0.368620581468312,RENTON
493,98178,0.368620581468312,RENTON
494,98055,0.368620581468312,RENTON
495,98059,0.368620581468312,RENTON
496,98057,0.368620581468312,RENTON
497,98057,0.368620581468312,RENTON
498,98057,0.368620581468312,RENTON
499,98057,0.368620581468312,RENTON
500,98055,0.368620581468312,RENTON
501,98178,0.368620581468312,RENTON
502,98178,0.368620581468312,RENTON
503,98057,0.368620581468312,RENTON
504,98059,0.368620581468312,RENTON
505,98056,0.368620581468312,RENTON
506,98058,0.368620581468312,RENTON
507,98058,0.368620581468312,RENTON
508,98056,0.368620581468312,RENTON
509,98058,0.368620581468312,RENTON
510,98055,0.368620581468312,RENTON
511,98178,0.368620581468312,RENTON
512,98057,0.368620581468312,RENTON
513,98056,0.368620581468312,RENTON
514,98057,0.368620581468312,RENTON
515,98056,0.368620581468312,RENTON
516,98058,0.368620581468312,RENTON
517,98058,0.368620581468312,RENTON
518,98058,0.368620581468312,RENTON
519,98178,0.368620581468312,RENTON
520,98040,0.7879348630643968,MERCER ISLAND
521,98040,0.7879348630643968,MERCER ISLAND
522,98040,0.7879348630643968,MERCER ISLAND
523,98040,0.7879348630643968,MERCER ISLAND
524,98040,0.7879348630643968,MERCER ISLAND
525,98040,0.7879348630643968,MERCER ISLAND
526,98040,0.7879348630643968,MERCER ISLAND
527,98040,0.7879348630643968,MERCER ISLAND
528,98040,0.7879348630643968,MERCER ISLAND
529,98040,0.7879348630643968,MERCER ISLAND
530,98040,0.7879348630643968,MERCER ISLAND
531,98040,0.7879348630643968,MERCER ISLAND
532,98092,0.3663089235324051,AUBURN
533,98002,0.3663089235324051,AUBURN
534,98002,0.3663089235324051,AUBURN
535,98092,0.3663089235324051,AUBURN
536,98002,0.3663089235324051,AUBURN
537,98092,0.3663089235324051,AUBURN
538,98002,0.3663089235324051,AUBURN
539,98092,0.3663089235324051,AUBURN
540,98092,0.3663089235324051,AUBURN
541,98001,0.3663089235324051,AUBURN
542,98002,0.3663089235324051,AUBURN
543,98002,0.3663089235324051,AUBURN
544,98002,0.3663089235324051,AUBURN
545,98092,0.3663089235324051,AUBURN
546,98002,0.3663089235324051,AUBURN
547,98002,0.3663089235324051,AUBURN
548,98092,0.3663089235324051,AUBURN
549,98002,0.3663089235324051,AUBURN
550,98047,0.3663089235324051,AUBURN
551,98002,0.3663089235324051,AUBURN
552,98092,0.3663089235324051,AUBURN
553,98092,0.3663089235324051,AUBURN
554,98092,0.3663089235324051,AUBURN
555,98002,0.3663089235324051,AUBURN
556,98092,0.3663089235324051,AUBURN
557,98092,0.3663089235324051,AUBURN
558,98002,0.3663089235324051,AUBURN
559,98092,0.3663089235324051,AUBURN
560,98092,0.3663089235324051,AUBURN
561,98092,0.3663089235324051,AUBURN
562,98001,0.3663089235324051,AUBURN
563,98001,0.3663089235324051,AUBURN
564,98002,0.3663089235324051,AUBURN
565,98002,0.3663089235324051,AUBURN
566,98002,0.3663089235324051,AUBURN
567,98092,0.3663089235324051,AUBURN
568,98019,0.6048548548548549,RIVERVIEW
569,98014,0.6048548548548549,RIVERVIEW
570,98014,0.6048548548548549,RIVERVIEW
571,98014,0.6048548548548549,RIVERVIEW
572,98019,0.6048548548548549,RIVERVIEW
573,98014,0.6048548548548549,RIVERVIEW
574,98019,0.6048548548548549,RIVERVIEW
575,98014,0.6048548548548549,RIVERVIEW
576,98027,0.7087494928810154,ISSAQUAH
577,98006,0.7087494928810154,ISSAQUAH
578,98006,0.7087494928810154,ISSAQUAH
579,98027,0.7087494928810154,ISSAQUAH
580,98059,0.7087494928810154,ISSAQUAH
581,98029,0.7087494928810154,ISSAQUAH
582,98029,0.7087494928810154,ISSAQUAH
583,98027,0.7087494928810154,ISSAQUAH
584,98029,0.7087494928810154,ISSAQUAH
585,98075,0.7087494928810154,ISSAQUAH
586,98059,0.7087494928810154,ISSAQUAH
587,98075,0.7087494928810154,ISSAQUAH
588,98027,0.7087494928810154,ISSAQUAH
589,98027,0.7087494928810154,ISSAQUAH
590,98059,0.7087494928810154,ISSAQUAH
591,98027,0.7087494928810154,ISSAQUAH
592,98075,0.7087494928810154,ISSAQUAH
593,98059,0.7087494928810154,ISSAQUAH
594,98029,0.7087494928810154,ISSAQUAH
595,98029,0.7087494928810154,ISSAQUAH
596,98059,0.7087494928810154,ISSAQUAH
597,98008,0.7087494928810154,ISSAQUAH
598,98075,0.7087494928810154,ISSAQUAH
599,98027,0.7087494928810154,ISSAQUAH
600,98027,0.7087494928810154,ISSAQUAH
601,98075,0.7087494928810154,ISSAQUAH
602,98059,0.7087494928810154,ISSAQUAH
603,98065,0.7087494928810154,ISSAQUAH
604,98008,0.7087494928810154,ISSAQUAH
605,98075,0.7087494928810154,ISSAQUAH
606,98075,0.7087494928810154,ISSAQUAH
607,98006,0.7087494928810154,ISSAQUAH
608,98022,0.4876269621421976,ENUMCLAW
609,98022,0.4876269621421976,ENUMCLAW
610,98022,0.4876269621421976,ENUMCLAW
611,98022,0.4876269621421976,ENUMCLAW
612,98010,0.4876269621421976,ENUMCLAW
613,98022,0.4876269621421976,ENUMCLAW
614,98022,0.4876269621421976,ENUMCLAW
615,98022,0.4876269621421976,ENUMCLAW
616,98022,0.4876269621421976,ENUMCLAW
617,98022,0.4876269621421976,ENUMCLAW
618,98042,0.6336146884789419,TAHOMA
619,98038,0.6336146884789419,TAHOMA
620,98038,0.6336146884789419,TAHOMA
621,98038,0.6336146884789419,TAHOMA
622,98038,0.6336146884789419,TAHOMA
623,98038,0.6336146884789419,TAHOMA
624,98038,0.6336146884789419,TAHOMA
625,98038,0.6336146884789419,TAHOMA
626,98051,0.6336146884789419,TAHOMA
627,98038,0.6336146884789419,TAHOMA
628,98038,0.6336146884789419,TAHOMA
629,98045,0.6905430206196697,SNOQUALMIE VALLEY
630,98045,0.6905430206196697,SNOQUALMIE VALLEY
631,98065,0.6905430206196697,SNOQUALMIE VALLEY
632,98065,0.6905430206196697,SNOQUALMIE VALLEY
633,98065,0.6905430206196697,SNOQUALMIE VALLEY
634,98045,0.6905430206196697,SNOQUALMIE VALLEY
635,98024,0.6905430206196697,SNOQUALMIE VALLEY
636,98065,0.6905430206196697,SNOQUALMIE VALLEY
637,98065,0.6905430206196697,SNOQUALMIE VALLEY
638,98024,0.6905430206196697,SNOQUALMIE VALLEY
639,98065,0.6905430206196697,SNOQUALMIE VALLEY
640,98045,0.6905430206196697,SNOQUALMIE VALLEY
641,98065,0.6905430206196697,SNOQUALMIE VALLEY
642,98168,0.2380298871607197,TUKWILA
643,98168,0.2380298871607197,TUKWILA
644,98168,0.2380298871607197,TUKWILA
645,98168,0.2380298871607197,TUKWILA
646,98188,0.2380298871607197,TUKWILA
647,98168,0.2380298871607197,TUKWILA
648,98070,0.5898027158595952,VASHON ISLAND
649,98070,0.5898027158595952,VASHON ISLAND
650,98070,0.5898027158595952,VASHON ISLAND
651,98070,0.5898027158595952,VASHON ISLAND
652,98070,0.5898027158595952,VASHON ISLAND
653,98288,0.4761904761904761,SKYKOMISH
